van_ban,phu_luc,nhom,muc_cha,stt,ma_hs,mo_ta
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,5,2620,"Xỉ, tro và cặn (trừ loại thu được từ quá trình sản xuất sắt hoặc thép), có chứa kim loại, arsen hoặc các hợp chất của chúng."
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,6,3818.00.00,"Các nguyên tố hóa học đã được kích tạp dùng trong điện tử, ở dạng đĩa, tấm mỏng hoặc các dạng tương tự; các hợp chất hóa học đã được kích tạp dùng trong điện tử."
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,7,4004.00.00,"Phế liệu, phế thải và mảnh vụn từ cao su (trừ cao su cứng) và bột và hạt thu được từ chúng"
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,8,5003.00.00,"Tơ tằm phế phẩm (kể cả kén không thích hợp để quay tơ, xơ sợi phế liệu và xơ sợi tái chế)."
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,9,5103,"Phế liệu lông cừu hoặc lông động vật loại mịn hoặc loại thô, kể cả phế liệu sợi nhưng trừ lông tái chế."
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,10,5104.00.00,Lông cừu hoặc lông động vật loại mịn hoặc thô tái chế.
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,11,5202,Phế liệu bông (kể cả phế liệu sợi và bông tái chế).
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,12,5505,"Phế liệu (kể cả phế liệu xơ, phế liệu sợi và nguyên liệu tái chế) từ xơ nhân tạo."
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,13,6310,"Vải vụn, mẩu dây xe, chão bện (cordage), thừng và cáp đã qua sử dụng hoặc mới và các phế liệu từ vải vụn, dây xe, chão bện (cordage), thừng hoặc cáp, từ vật liệu dệt."
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,14,8101.97.00,- - Phế liệu và mảnh vụn
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,15,8102.97.00,- - Phế liệu và mảnh vụn
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,16,8104.20.00,- Phế liệu và mảnh vụn
